## Times for 2t with 16 workers and 128GB memory
## Catalog: data-access, Model: IFS-FESOM, Experiment: story-2017-historical-HPC, Source: hourly-hpz9-atm2d, Regrid: r100
## Average compute time: 52.55 seconds
## Average total time: 109.71 seconds
## Individual compute times:
## Attempt; Total Time (s); Retrieve Time (s); Compute Time (s); I/O Time (s)
1; 108.94; 3.45; 52.41; 53.07
2; 110.19; 2.94; 52.98; 54.26
3; 109.77; 3.70; 52.77; 53.30
4; 109.00; 3.92; 52.52; 52.56
5; 110.18; 3.95; 52.17; 54.06
6; 107.82; 3.32; 52.16; 52.34
7; 110.65; 4.30; 53.32; 53.03
8; 108.85; 3.38; 52.08; 53.40
9; 108.99; 3.51; 52.70; 52.78
10; 112.68; 3.53; 52.42; 56.73
