## Times for 2t with 32 workers and 128GB memory
## Catalog: data-access, Model: IFS-FESOM, Experiment: story-2017-historical-HPC, Source: hourly-hpz9-atm2d, Regrid: r100
## Average compute time: 29.10 seconds
## Average total time: 61.78 seconds
## Individual compute times:
## Attempt; Total Time (s); Retrieve Time (s); Compute Time (s); I/O Time (s)
1; 63.31; 3.97; 29.14; 30.19
2; 62.64; 4.16; 29.21; 29.26
3; 62.06; 4.18; 28.93; 28.95
4; 60.82; 3.06; 29.08; 28.68
5; 62.08; 2.84; 29.06; 30.18
6; 61.33; 3.32; 28.78; 29.23
7; 61.05; 2.79; 29.16; 29.10
8; 62.06; 2.75; 29.61; 29.70
9; 60.64; 2.80; 28.75; 29.09
10; 61.85; 3.06; 29.31; 29.48
